Name,SiteNumber,EventDateTime,MeterNumber,MeterReading,BatteryVoltage,PowerStatus,PSiteName,ReadingDate,ReadingTime
Rietvlei1,0003,2016-01-26 12:00:02.570,      87903951,0000008.218,13.3,ON,Rietvlei1,2016/01/26,12:00:00
Rietvlei1,0003,2016-01-26 12:00:01.230,      87903951,0000008.218,13.3,ON,Rietvlei1,2016/01/26,12:00:00
Rietvlei1,0003,2016-01-26 11:00:04.480,      87903951,0000008.218,13.3,ON,Rietvlei1,2016/01/26,11:00:00
Rietvlei1,0003,2016-01-26 11:00:03.517,      87903951,0000008.218,13.3,ON,Rietvlei1,2016/01/26,11:00:00
Rietvlei1,0003,2016-01-26 11:00:02.447,      87903951,0000008.218,13.3,ON,Rietvlei1,2016/01/26,11:00:00
Rietvlei1,0003,2016-01-26 11:00:01.400,      87903951,0000008.218,13.3,ON,Rietvlei1,2016/01/26,11:00:00
Rietvlei1,0003,2016-01-26 10:00:05.230,      87903951,0000008.218,13.2,ON,Rietvlei1,2016/01/26,10:00:00
Rietvlei1,0003,2016-01-26 10:00:04.257,      87903951,0000008.218,13.2,ON,Rietvlei1,2016/01/26,10:00:00
Rietvlei1,0003,2016-01-26 10:00:03.300,      87903951,0000008.218,13.2,ON,Rietvlei1,2016/01/26,10:00:00
Rietvlei1,0003,2016-01-26 10:00:02.270,      87903951,0000008.218,13.2,ON,Rietvlei1,2016/01/26,10:00:00
Rietvlei1,0003,2016-01-26 09:00:05.333,      87903951,0000008.218,13.1,ON,Rietvlei1,2016/01/26,09:00:00
Rietvlei1,0003,2016-01-26 09:00:04.347,      87903951,0000008.218,13.1,ON,Rietvlei1,2016/01/26,09:00:00
Rietvlei1,0003,2016-01-26 09:00:03.307,      87903951,0000008.218,13.1,ON,Rietvlei1,2016/01/26,09:00:00
Rietvlei1,0003,2016-01-26 09:00:02.013,      87903951,0000008.218,13.1,ON,Rietvlei1,2016/01/26,09:00:00
Rietvlei1,0003,2016-01-26 08:00:06.680,      87903951,0000008.218,13.2,ON,Rietvlei1,2016/01/26,08:00:00
Rietvlei1,0003,2016-01-26 08:00:05.530,      87903951,0000008.218,13.2,ON,Rietvlei1,2016/01/26,08:00:00
Rietvlei1,0003,2016-01-26 08:00:04.400,      87903951,0000008.218,13.2,ON,Rietvlei1,2016/01/26,08:00:00
Rietvlei1,0003,2016-01-26 08:00:02.760,      87903951,0000008.218,13.2,ON,Rietvlei1,2016/01/26,08:00:00
Rietvlei1,0003,2016-01-26 07:00:05.947,      87903951,0000008.218,13.2,ON,Rietvlei1,2016/01/26,07:00:00
Rietvlei1,0003,2016-01-26 07:00:04.993,      87903951,0000008.218,13.2,ON,Rietvlei1,2016/01/26,07:00:00
Rietvlei1,0003,2016-01-26 07:00:03.707,      87903951,0000008.218,13.2,ON,Rietvlei1,2016/01/26,07:00:00
Rietvlei1,0003,2016-01-26 07:00:02.660,      87903951,0000008.218,13.2,ON,Rietvlei1,2016/01/26,07:00:00
